Yip		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Sgarbossa		12.85		0.42	0.41	0.41	0.00	0.49	0.16	0.08	0.00	0.00	0.12	0.12	0.36	0.12	0.06		0.41	0.50	0.00	3.00	1.00	1.20		1.48	1.86	0.01	1.43
Cramarossa		5.34		0.25	0.00	0.00	0.00	0.17	0.09	0.00	0.09	0.09	0.25	0.25	0.33	0.25	0.00		0.60	0.00	0.00	1.33	1.00	0.40		0.08	0.00	0.10	1.24
Leblanc		8.47		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.17	0.43	0.17	0.00		0.00	0.08	0.00	2.50	0.50	1.20		1.43	1.29	0.00	1.31
Wagner		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Karlsson		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Palmieri		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Zabotel		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Embach		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Krushelnyski		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Szydlowski 		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Carzo		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Laganiere		12.72		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	0.32	0.56	0.16	0.08		0.00	0.20	0.50	3.50	1.00	1.00		2.81	0.88	0.00	2.35
Loney		13.94		0.00	0.28	0.28	0.00	0.47	0.00	0.09	0.00	0.00	0.47	0.09	0.85	0.19	0.00		0.00	0.30	0.33	4.50	2.50	1.00		1.88	0.00	0.00	1.24
Pistilli		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Czarnik		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
MacIntyre		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Pacan		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
MacMillan		0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00
Steckel		14.56		0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.06	0.56	0.13	0.06		0.57	0.03	0.00	4.50	2.50	1.60		0.13	1.54	-0.17	2.37
